"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","TECNICA","PERIODO_DE_ANALISIS","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,16,12,8,2,2024,2,26,7,"V",6,"V",4,"V",4,"V",5,"V",8,"V",12,"V",27,"V",29,"V",23,"V",15,"V",13,"V",15,"V",13,"V",10,"V",15,"V",17,"V",24,"V",32,"V",35,"V",33,"V",21,"V",12,"V",0,"N"
28,79,16,14,6,2,2024,2,26,55,"V",63,"V",80,"V",84,"V",82,"V",77,"V",72,"V",59,"V",59,"V",64,"V",71,"V",74,"V",75,"V",79,"V",84,"V",75,"V",69,"V",59,"V",51,"V",47,"V",52,"V",66,"V",77,"V",0,"N"
28,79,17,7,8,2,2024,2,26,3,"V",7,"V",1,"V",1,"V",1,"V",2,"V",5,"V",5,"V",13,"V",9,"V",6,"V",4,"V",4,"V",4,"V",5,"V",4,"V",5,"V",5,"V",5,"V",5,"V",7,"V",2,"V",2,"V",0,"N"
28,79,17,8,8,2,2024,2,26,3,"V",4,"V",3,"V",2,"V",2,"V",7,"V",30,"V",27,"V",40,"V",25,"V",13,"V",8,"V",8,"V",9,"V",10,"V",12,"V",17,"V",16,"V",16,"V",23,"V",26,"V",11,"V",10,"V",0,"N"
28,79,17,12,8,2,2024,2,26,8,"V",15,"V",5,"V",4,"V",4,"V",10,"V",38,"V",35,"V",59,"V",39,"V",22,"V",13,"V",14,"V",16,"V",18,"V",18,"V",25,"V",23,"V",23,"V",30,"V",37,"V",15,"V",12,"V",0,"N"
28,79,17,14,6,2,2024,2,26,56,"V",54,"V",66,"V",79,"V",82,"V",74,"V",54,"V",49,"V",37,"V",57,"V",70,"V",78,"V",78,"V",79,"V",80,"V",75,"V",65,"V",64,"V",65,"V",60,"V",58,"V",74,"V",75,"V",0,"N"
28,79,18,7,8,2,2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",3,"V",2,"V",2,"V",2,"V",3,"V",2,"V",2,"V",2,"V",3,"V",4,"V",3,"V",2,"V",1,"V",1,"V",0,"N"
28,79,18,8,8,2,2024,2,26,5,"V",4,"V",4,"V",4,"V",4,"V",6,"V",14,"V",24,"V",27,"V",18,"V",10,"V",10,"V",10,"V",11,"V",11,"V",14,"V",17,"V",18,"V",22,"V",28,"V",26,"V",19,"V",11,"V",0,"N"
28,79,18,10,47,2,2024,2,26,8,"V",6,"V",9,"V",8,"V",2,"V",2,"V",3,"V",5,"V",5,"V",17,"V",14,"V",8,"V",4,"V",10,"V",32,"V",18,"V",6,"V",8,"V",6,"V",8,"V",6,"V",6,"V",5,"V",0,"N"
28,79,18,12,8,2,2024,2,26,6,"V",6,"V",6,"V",5,"V",6,"V",8,"V",17,"V",27,"V",35,"V",22,"V",14,"V",14,"V",14,"V",15,"V",15,"V",18,"V",20,"V",22,"V",27,"V",32,"V",29,"V",21,"V",13,"V",0,"N"
28,79,18,14,6,2,2024,2,26,53,"V",52,"V",64,"V",77,"V",78,"V",74,"V",65,"V",53,"V",51,"V",63,"V",71,"V",73,"V",75,"V",76,"V",78,"V",71,"V",65,"V",62,"V",59,"V",55,"V",58,"V",65,"V",73,"V",0,"N"
28,79,18,20,59,2,2024,2,26,0.2,"V",0.2,"V",0.2,"V",0.2,"V",0.2,"V",0.3,"V",0.5,"V",0.6,"V",0.7,"V",1.1,"V",0.5,"V",0.4,"V",0.7,"V",0.8,"V",0.5,"V",0.5,"V",0.5,"V",0.9,"V",0.5,"V",0.5,"V",0.7,"V",0.6,"V",0.4,"V",0,"N"
